@RELATION "VideoSlice/test/gch/06.arff"

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE 13 NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE 17 NUMERIC
@ATTRIBUTE 18 NUMERIC
@ATTRIBUTE 19 NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE 21 NUMERIC
@ATTRIBUTE 22 NUMERIC
@ATTRIBUTE 23 NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE 25 NUMERIC
@ATTRIBUTE 26 NUMERIC
@ATTRIBUTE 27 NUMERIC
@ATTRIBUTE 28 NUMERIC
@ATTRIBUTE 29 NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE 31 NUMERIC
@ATTRIBUTE 32 NUMERIC
@ATTRIBUTE 33 NUMERIC
@ATTRIBUTE 34 NUMERIC
@ATTRIBUTE 35 NUMERIC
@ATTRIBUTE 36 NUMERIC
@ATTRIBUTE 37 NUMERIC
@ATTRIBUTE 38 NUMERIC
@ATTRIBUTE 39 NUMERIC
@ATTRIBUTE 40 NUMERIC
@ATTRIBUTE 41 NUMERIC
@ATTRIBUTE 42 NUMERIC
@ATTRIBUTE 43 NUMERIC
@ATTRIBUTE 44 NUMERIC
@ATTRIBUTE 45 NUMERIC
@ATTRIBUTE 46 NUMERIC
@ATTRIBUTE 47 NUMERIC
@ATTRIBUTE 48 NUMERIC
@ATTRIBUTE 49 NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE 51 NUMERIC
@ATTRIBUTE 52 NUMERIC
@ATTRIBUTE 53 NUMERIC
@ATTRIBUTE 54 NUMERIC
@ATTRIBUTE 55 NUMERIC
@ATTRIBUTE 56 NUMERIC
@ATTRIBUTE 57 NUMERIC
@ATTRIBUTE 58 NUMERIC
@ATTRIBUTE 59 NUMERIC
@ATTRIBUTE 60 NUMERIC
@ATTRIBUTE 61 NUMERIC
@ATTRIBUTE 62 NUMERIC
@ATTRIBUTE 63 NUMERIC
@ATTRIBUTE class {0,1,2,3,4,5}

@DATA
55,51,48,48,49,52,48,48,48,48,48,48,48,48,48,48,49,48,48,48,50,56,52,48,48,49,51,48,48,48,48,48,48,48,48,48,48,49,50,48,48,48,56,51,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,51,48,48,48,55,0
56,54,48,48,49,53,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,57,52,48,48,49,51,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,53,49,48,48,48,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,51,0
55,51,48,48,51,52,48,48,48,48,48,48,48,48,48,48,49,49,48,48,50,56,53,48,48,48,52,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,56,52,48,48,48,50,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,54,0
56,53,48,48,49,51,48,48,48,48,48,48,48,48,48,48,50,51,48,48,49,56,53,48,48,48,51,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,55,51,48,48,48,50,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,54,0
55,53,48,48,48,51,48,48,48,48,48,48,48,48,48,48,49,48,48,48,49,55,52,48,48,48,51,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,55,53,48,48,48,52,48,48,48,48,48,48,48,48,48,48,49,48,48,48,48,55,0
56,53,48,48,49,52,48,48,48,48,48,48,48,48,48,48,49,50,48,48,48,56,52,48,48,48,52,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,54,49,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,52,0
55,52,48,48,48,51,48,48,48,48,48,48,48,48,48,48,51,50,48,48,49,56,53,48,48,48,51,48,48,48,48,48,48,48,48,48,48,50,52,48,48,48,55,51,48,48,48,51,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,55,0
55,51,48,48,51,51,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,56,52,48,48,49,53,48,48,48,48,48,48,48,48,48,48,48,52,48,48,48,56,52,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54,0
55,52,48,48,48,50,48,48,48,48,48,48,48,48,48,48,51,49,48,48,50,56,54,48,48,48,51,48,48,48,48,48,48,48,48,48,48,49,52,48,48,48,55,50,48,48,48,49,48,48,48,48,48,48,48,48,48,48,48,50,48,48,48,54,0
55,52,48,48,50,52,48,48,48,48,48,48,48,48,48,48,48,49,48,48,49,56,53,48,48,49,52,48,48,48,48,48,48,48,48,48,48,49,51,48,48,49,56,52,48,48,48,50,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,54,0
55,52,48,48,48,52,48,48,48,48,48,48,48,48,48,48,49,50,48,48,48,56,53,48,48,48,52,48,48,48,48,48,48,48,48,48,48,50,52,48,48,48,55,51,48,48,48,49,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,54,0
55,53,48,48,49,52,48,48,48,48,48,48,48,48,48,48,49,50,48,48,49,56,53,48,48,48,52,48,48,48,48,48,48,48,48,48,48,49,51,48,48,49,55,52,48,48,48,50,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,54,0
55,52,48,48,48,51,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,56,53,48,48,48,52,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,55,51,48,48,48,49,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,53,0
55,52,48,48,49,52,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,56,53,48,48,48,53,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,55,52,48,48,48,51,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,54,0
54,51,48,48,48,51,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,56,53,48,48,48,52,48,48,48,48,48,48,48,48,48,48,49,52,48,48,48,56,52,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,50,48,48,48,53,0
55,51,48,48,49,51,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,55,51,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,50,48,48,48,55,52,48,48,48,51,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,56,0
55,52,48,48,49,53,48,48,48,48,48,48,48,48,48,48,48,50,48,48,49,56,53,48,48,48,52,48,48,48,48,48,48,48,48,48,48,48,51,48,48,49,55,53,48,48,48,49,48,48,48,48,48,48,48,48,48,48,49,50,48,48,48,54,0
54,51,48,48,49,52,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,56,54,48,48,48,51,48,48,48,48,48,48,48,48,48,48,48,51,48,48,48,55,52,48,48,48,51,48,48,48,48,48,48,48,48,48,48,48,50,48,48,48,55,0
55,53,48,48,50,52,48,48,48,48,48,48,48,48,48,48,49,50,48,48,49,56,53,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,51,48,48,48,55,52,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,51,48,48,48,55,0
53,50,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,54,51,48,48,49,52,48,48,48,48,48,48,48,48,48,48,49,49,48,48,49,54,52,48,48,48,51,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,57,0
53,50,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,54,52,48,48,49,52,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,55,53,48,48,49,52,48,48,48,48,48,48,48,48,48,48,49,50,48,48,48,57,0
54,50,48,48,49,51,48,48,48,48,48,48,48,48,48,48,50,51,48,48,48,55,51,48,48,48,52,48,48,48,48,48,48,48,48,48,48,48,50,48,48,49,54,52,48,48,48,51,48,48,48,48,48,48,48,48,48,48,48,49,48,48,49,56,0
54,49,48,48,49,51,48,48,48,48,48,48,48,48,48,48,50,49,48,48,49,55,51,48,48,49,52,48,48,48,48,48,48,48,48,48,48,49,49,48,48,49,54,51,48,48,49,51,48,48,48,48,48,48,48,48,48,48,49,50,48,48,49,57,0
50,49,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54,52,48,48,50,54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,56,53,48,48,50,53,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,56,0
53,50,48,48,48,50,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,55,54,48,48,49,53,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,55,53,48,48,48,52,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,56,0
54,50,48,48,49,51,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,55,53,48,48,48,53,48,48,48,48,48,48,48,48,48,48,48,50,48,48,49,55,52,48,48,48,52,48,48,48,48,48,48,48,48,48,48,50,50,48,48,48,56,0
53,50,48,48,49,51,48,48,48,48,48,48,48,48,48,48,48,48,48,48,50,56,54,48,48,49,53,48,48,48,48,48,48,48,48,48,48,48,51,48,48,48,56,52,48,48,48,51,48,48,48,48,48,48,48,48,48,48,49,50,48,48,48,55,0
53,49,48,48,50,51,48,48,48,48,48,48,48,48,48,48,49,49,48,48,51,56,54,48,48,49,52,48,48,48,48,48,48,48,48,48,48,48,51,48,48,48,56,51,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,50,48,48,48,55,0
53,49,48,48,49,50,48,48,48,48,48,48,48,48,48,48,49,49,48,48,49,56,53,48,48,49,52,48,48,48,48,48,48,48,48,48,48,50,51,48,48,50,56,52,48,48,49,51,48,48,48,48,48,48,48,48,48,48,48,50,48,48,48,55,0
53,48,48,48,49,49,48,48,48,48,48,48,48,48,48,48,48,49,48,48,49,55,53,48,48,48,54,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,56,52,48,48,48,52,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,54,0
53,49,48,48,48,51,48,48,48,48,48,48,48,48,48,48,50,49,48,48,48,56,53,48,48,48,54,48,48,48,48,48,48,48,48,48,48,49,50,48,48,48,56,52,48,48,48,52,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,55,0
54,49,48,48,49,51,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,55,53,48,48,49,54,48,48,48,48,48,48,48,48,48,48,48,50,48,48,48,56,53,48,48,48,51,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,56,0
54,50,48,48,49,51,48,48,48,48,48,48,48,48,48,48,49,49,48,48,49,55,52,48,48,49,53,48,48,48,48,48,48,48,48,48,48,50,49,48,48,49,55,52,48,48,48,51,48,48,48,48,48,48,48,48,48,48,50,50,48,48,49,56,0
53,50,48,48,49,50,48,48,48,48,48,48,48,48,48,48,49,49,48,48,49,55,52,48,48,49,52,48,48,48,48,48,48,48,48,48,48,49,49,48,48,49,55,52,48,48,49,51,48,48,48,48,48,48,48,48,48,48,49,50,48,48,49,57,0
53,49,48,48,48,49,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,55,52,48,48,48,53,48,48,48,48,48,48,48,48,48,48,49,48,48,48,48,56,51,48,48,48,54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,56,0
55,53,48,48,49,53,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,56,53,48,48,49,54,48,48,48,48,48,48,48,48,48,48,48,50,48,48,48,55,51,48,48,48,52,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,53,0
54,50,48,48,49,51,48,48,48,48,48,48,48,48,48,48,49,49,48,48,50,56,53,48,48,49,54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,56,52,48,48,49,52,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,55,0
54,52,48,48,48,52,48,48,48,48,48,48,48,48,48,48,49,49,48,48,49,55,53,48,48,49,52,48,48,48,48,48,48,48,48,48,48,49,50,48,48,48,55,53,48,48,48,52,48,48,48,48,48,48,48,48,48,48,49,50,48,48,48,56,0
55,52,48,48,49,51,48,48,48,48,48,48,48,48,48,48,49,50,48,48,49,56,53,48,48,49,52,48,48,48,48,48,48,48,48,48,48,49,50,48,48,48,56,52,48,48,48,51,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,55,0
56,53,48,48,48,53,48,48,48,48,48,48,48,48,48,48,51,51,48,48,48,56,52,48,48,49,53,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,54,49,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,52,0
54,51,48,48,48,52,48,48,48,48,48,48,48,48,48,48,49,50,48,48,49,56,53,48,48,49,52,48,48,48,48,48,48,48,48,48,48,49,49,48,48,49,55,52,48,48,48,51,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,55,0
54,50,48,48,48,52,48,48,48,48,48,48,48,48,48,48,49,49,48,48,49,56,53,48,48,48,53,48,48,48,48,48,48,48,48,48,48,48,51,48,48,49,55,52,48,48,49,51,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,54,0
54,51,48,48,48,52,48,48,48,48,48,48,48,48,48,48,48,50,48,48,48,55,53,48,48,49,53,48,48,48,48,48,48,48,48,48,48,49,48,48,48,48,56,53,48,48,48,52,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,55,0
53,52,48,48,49,52,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,56,53,48,48,49,53,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,55,52,48,48,48,52,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,55,0
54,52,48,48,48,51,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,55,53,48,48,48,52,48,48,48,48,48,48,48,48,48,48,48,51,48,48,48,56,53,48,48,48,52,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,55,0
55,52,48,48,49,53,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,56,54,48,48,50,54,48,48,48,48,48,48,48,48,48,48,49,51,48,48,49,56,52,48,48,48,51,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,53,0
55,52,48,48,48,53,48,48,48,48,48,48,48,48,48,48,49,51,48,48,49,56,54,48,48,48,53,48,48,48,48,48,48,48,48,48,48,49,48,48,48,48,55,51,48,48,48,51,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,53,0
55,52,48,48,49,52,48,48,48,48,48,48,48,48,48,48,50,49,48,48,48,56,54,48,48,49,53,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,55,51,48,48,48,51,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,52,0
55,53,48,48,48,53,48,48,48,48,48,48,48,48,48,48,50,49,48,48,48,56,54,48,48,48,53,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,55,52,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,53,0
54,52,48,48,49,54,48,48,48,48,48,48,48,48,48,48,49,49,48,48,49,56,54,48,48,48,55,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54,51,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,3
55,53,48,48,49,55,48,48,48,48,48,48,48,48,48,48,49,49,48,48,49,56,54,48,48,49,54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,53,50,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,3
54,52,48,48,49,54,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,56,55,48,48,48,55,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,53,49,48,48,48,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3
53,51,48,48,49,53,48,48,48,48,48,48,48,48,48,48,49,49,48,48,49,56,55,48,48,48,56,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,54,52,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,3
54,54,48,48,48,54,48,48,48,48,48,48,48,48,48,48,50,49,48,48,50,57,54,48,48,48,52,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,52,50,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3
54,52,48,48,49,54,48,48,48,48,48,48,48,48,48,48,48,49,48,48,49,56,54,48,48,49,56,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54,52,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,3
53,52,48,48,49,53,48,48,48,48,48,48,48,48,48,48,49,48,48,48,50,57,55,48,48,48,54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,53,51,48,48,48,51,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,3
54,52,48,48,49,53,48,48,48,48,48,48,48,48,48,48,48,50,48,48,49,56,55,48,48,48,56,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,53,51,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3
54,52,48,48,48,53,48,48,48,48,48,48,48,48,48,48,49,50,48,48,49,56,55,48,48,48,55,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,54,51,48,48,48,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3
54,52,48,48,49,54,48,48,48,48,48,48,48,48,48,48,49,49,48,48,49,56,55,48,48,49,55,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54,51,48,48,48,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,3
54,52,48,48,50,53,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,56,55,48,48,48,55,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,53,51,48,48,48,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3
53,50,48,48,48,53,48,48,48,48,48,48,48,48,48,48,48,49,48,48,49,56,55,48,48,48,55,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54,52,48,48,48,52,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,50,3
54,52,48,48,48,53,48,48,48,48,48,48,48,48,48,48,49,50,48,48,49,57,55,48,48,48,53,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,54,49,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3
53,50,48,48,48,53,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,56,55,48,48,49,56,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54,52,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3
54,52,48,48,50,54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,56,55,48,48,48,54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,53,50,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3
54,52,48,48,48,54,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,56,55,48,48,48,55,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,52,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3
55,53,48,48,48,55,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,57,54,48,48,48,52,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,52,48,48,48,48,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3
54,52,48,48,48,52,48,48,48,48,48,48,48,48,48,48,49,51,48,48,48,56,55,48,48,48,55,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54,50,48,48,48,50,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3
54,52,48,48,48,53,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,56,55,48,48,48,55,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54,51,48,48,48,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,3
54,53,48,48,48,54,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,57,54,48,48,48,53,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,53,50,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3
54,53,48,48,49,54,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,57,54,48,48,48,52,48,48,48,48,48,48,48,48,48,48,48,50,48,48,48,53,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,48,3
54,52,48,48,48,54,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,56,55,48,48,48,55,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,55,52,48,48,48,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,3
54,53,48,48,49,54,48,48,48,48,48,48,48,48,48,48,49,49,48,48,48,56,54,48,48,48,54,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54,50,48,48,48,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,3
54,52,48,48,49,54,48,48,48,48,48,48,48,48,48,48,49,49,48,48,49,56,54,48,48,48,54,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,54,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3
